2018-19
FIRST TEAM

F: Giannis Antetokounmpo, Milwaukee Bucks
F: Paul George, Oklahoma City Thunder
C: Nikola Jokić, Denver Nuggets
G: James Harden, Houston Rockets
G: Stephen Curry, Golden State Warriors

SECOND TEAM

F: Kevin Durant, Golden State Warriors
F: Kawhi Leonard, Toronto Raptors
C: Joel Embiid, Philadelphia 76ers
G: Damian Lillard, Portland Trail Blazers
G: Kyrie Irving, Boston Celtics

THIRD TEAM

F: Blake Griffin, Detroit Pistons
F: LeBron James, Los Angeles Lakers
C: Rudy Gobert, Utah Jazz
G: Russell Westbrook, Oklahoma City Thunder
G: Kemba Walker, Charlotte Hornets
* Official release & voting totals

2017-18
FIRST TEAM

F: LeBron James, Cleveland Cavaliers
F: Kevin Durant, Golden State Warriors
C: Anthony Davis, New Orleans Pelicans
G: James Harden, Houston Rockets
G: Damian Lillard, Portland Trail Blazers

SECOND TEAM

F: LaMarcus Aldridge, San Antonio Spurs
F: Giannis Antetokounmpo, Milwaukee Bucks
C: Joel Embiid, Philadelphia 76ers
G: DeMar DeRozan, Toronto Raptors
G: Russell Westbrook, Oklahoma City Thunder

THIRD TEAM

F: Paul George, Oklahoma City Thunder
F: Jimmy Butler, Minnesota Timberwolves
C: Karl-Anthony Towns, Minnesota Timberwolves
G: Stephen Curry, Golden State Warriors
G: Victor Oladipo, Indiana Pacers
* Official release

2016-17
FIRST TEAM

F: LeBron James, Cleveland Cavaliers
F: Kawhi Leonard, San Antonio Spurs
C: Anthony Davis, New Orleans Pelicans
G: James Harden, Houston Rockets
G: Russell Westbrook, Oklahoma City Thunder

SECOND TEAM

F: Giannis Antetokounmpo, Milwaukee Bucks
F: Kevin Durant, Golden State Warriors
C: Rudy Gobert, Utah Jazz
G: Stephen Curry, Golden State Warriors
G: Isaiah Thomas, Boston Celtics

THIRD TEAM

F: Draymond Green, Golden State Warriors
F: Jimmy Butler, Chicago Bulls
C: DeAndre Jordan, L.A. Clippers
G: John Wall, Washington Wizards
G: DeMar DeRozan, Toronto Raptors
* Voting Totals (PDF)

2015-16
FIRST TEAM

F: LeBron James, Cleveland Cavaliers
F: Kawhi Leonard, San Antonio Spurs
C: DeAndre Jordan, L.A. Clippers
G: Stephen Curry, Golden State Warriors
G: Russell Westbrook, Oklahoma City Thunder

SECOND TEAM

F: Kevin Durant, Oklahoma City Thunder
F: Draymond Green, Golden State Warriors
C: DeMarcus Cousins, Sacramento Kings
G: Chris Paul, L.A. Clippers,
G: Damian Lillard, Portland Trail Blazers

THIRD TEAM

F: Paul George, Indiana Pacers
F: LaMarcus Aldridge, San Antonio Spurs
C: Andre Drummond, Detroit Pistons
G: Klay Thompson, Golden State Warriors
G: Kyle Lowry, Toronto Raptors
* Voting Totals (PDF)

2014-15
FIRST TEAM

F: LeBron James, Cleveland Cavaliers
F: Anthony Davis, New Orleans Pelicans
C: Marc Gasol, Memphis Grizzlies
G: Stephen Curry, Golden State Warriors
G: James Harden, Houston Rockets

SECOND TEAM

F: LaMarcus Aldridge, Portland Trail Blazers
F: DeMarcus Cousins, Sacramento Kings
C: Pau Gasol, Chicago Bulls
G: Russell Westbrook, Oklahoma City Thunder
G: Chris Paul, L.A. Clippers

THIRD TEAM

F: Blake Griffin, L.A. Clippers
F: Tim Duncan, San Antonio Spurs
C: DeAndre Jordan, L.A. Clippers
G: Klay Thompson, Golden State Warriors
G: Kyrie Irving, Cleveland Cavaliers

2013-14
FIRST TEAM

F: Kevin Durant, Oklahoma City Thunder
F: LeBron James, Miami Heat
C: Joakim Noah, Chicago Bulls
G: James Harden, Houston Rockets
G: Chris Paul, L.A. Clippers

SECOND TEAM

F: Blake Griffin, L.A. Clippers
F: Kevin Love, Minnesota Timberwolves
C: Dwight Howard, Houston Rockets
G: Stephen Curry, Golden State Warriors
G: Tony Parker, San Antonio Spurs


THIRD TEAM

F: Paul George, Indiana Pacers
F: LaMarcus Aldridge, Portland Trail Blazers
C: Al Jefferson, Charlotte Bobcats
G: Goran Dragic, Miami Heat
G: Damian Lillard, Portland Trail Blazers

2012-13
FIRST TEAM

F: LeBron James, Miami Heat
F: Kevin Durant, Oklahoma City Thunder
C: Tim Duncan, San Antonio Spurs
G: Kobe Bryant, Los Angeles Lakers
G: Chris Paul, L.A. Clippers

SECOND TEAM

F: Carmelo Anthony, New York Knicks
F: Blake Griffin, L.A. Clippers
